Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TNR_R.TSPT_Suppo90,Chrome 119.0.0.0,,,2023-11-24 12:36:35,2023-11-24 12:56:08,"19m - 33,189s",ERROR
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-24 12:36:36,2023-11-24 12:43:29,"6m - 52,861s",ERROR
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-24 12:36:37,2023-11-24 12:36:37,"0,258s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-24 12:36:37,2023-11-24 12:37:31,"53,906s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-24 12:37:31,2023-11-24 12:40:36,"3m - 4,938s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-24 12:40:36,2023-11-24 12:43:24,"2m - 47,785s",ERROR
Video,Chrome 119.0.0.0,,,2023-11-24 12:43:29,2023-11-24 12:43:29,"0,001s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-24 12:43:29,2023-11-24 12:50:31,"7m - 1,840s",ERROR
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-24 12:43:29,2023-11-24 12:43:29,"0,010s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-24 12:43:29,2023-11-24 12:44:14,"44,670s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-24 12:44:14,2023-11-24 12:46:59,"2m - 45,359s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-24 12:46:59,2023-11-24 12:50:28,"3m - 28,637s",ERROR
Video,Chrome 119.0.0.0,,,2023-11-24 12:50:31,2023-11-24 12:50:31,"0,000s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-24 12:50:31,2023-11-24 12:56:08,"5m - 37,466s",ERROR
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-24 12:50:31,2023-11-24 12:50:31,"0,007s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-24 12:50:31,2023-11-24 12:51:13,"41,602s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-24 12:51:13,2023-11-24 12:53:58,"2m - 45,753s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-24 12:53:58,2023-11-24 12:56:06,"2m - 7,288s",ERROR
Video,Chrome 119.0.0.0,,,2023-11-24 12:56:08,2023-11-24 12:56:08,"0,001s",PASSED
