Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TNR_R.TSPT_Suppo90,Chrome 119.0.0.0,,,2023-11-23 13:44:20,2023-11-23 14:00:30,"16m - 10,393s",FAILED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-23 13:44:21,2023-11-23 13:52:30,"8m - 9,238s",PASSED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-23 13:44:23,2023-11-23 13:44:23,"0,473s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-23 13:44:23,2023-11-23 13:45:10,"47,212s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-23 13:45:10,2023-11-23 13:47:52,"2m - 41,198s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-23 13:47:52,2023-11-23 13:52:27,"4m - 35,533s",PASSED
Video,Chrome 119.0.0.0,,,2023-11-23 13:52:30,2023-11-23 13:52:30,"0,001s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-23 13:52:30,2023-11-23 14:00:30,"8m - 0,091s",FAILED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-23 13:52:30,2023-11-23 13:52:30,"0,007s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-23 13:52:30,2023-11-23 13:53:10,"39,455s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-23 13:53:10,2023-11-23 13:55:44,"2m - 34,605s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-23 13:55:44,2023-11-23 14:00:25,"4m - 41,234s",FAILED
Video,Chrome 119.0.0.0,,,2023-11-23 14:00:30,2023-11-23 14:00:30,"0,001s",PASSED
