Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TNR_R.TSPT_Suppo90,Chrome 119.0.0.0,,,2023-11-23 14:56:01,2023-11-23 15:19:35,"23m - 33,878s",FAILED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-23 14:56:02,2023-11-23 15:04:25,"8m - 22,578s",PASSED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-23 14:56:04,2023-11-23 14:56:05,"0,550s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-23 14:56:05,2023-11-23 14:56:51,"46,653s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-23 14:56:51,2023-11-23 14:59:32,"2m - 40,796s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-23 14:59:32,2023-11-23 15:04:22,"4m - 49,719s",PASSED
Video,Chrome 119.0.0.0,,,2023-11-23 15:04:25,2023-11-23 15:04:25,"0,000s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-23 15:04:25,2023-11-23 15:12:10,"7m - 45,724s",FAILED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-23 15:04:25,2023-11-23 15:04:25,"0,006s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-23 15:04:25,2023-11-23 15:05:03,"38,016s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-23 15:05:03,2023-11-23 15:07:41,"2m - 38,122s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-23 15:07:41,2023-11-23 15:12:05,"4m - 24,267s",FAILED
Video,Chrome 119.0.0.0,,,2023-11-23 15:12:10,2023-11-23 15:12:10,"0,000s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-23 15:12:11,2023-11-23 15:19:35,"7m - 24,301s",PASSED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-23 15:12:11,2023-11-23 15:12:11,"0,008s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-23 15:12:11,2023-11-23 15:12:49,"38,088s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-23 15:12:49,2023-11-23 15:15:22,"2m - 32,775s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-23 15:15:22,2023-11-23 15:19:32,"4m - 10,848s",PASSED
Video,Chrome 119.0.0.0,,,2023-11-23 15:19:35,2023-11-23 15:19:35,"0,000s",PASSED
