Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TNR_R.TSPT_Suppo90,Chrome 119.0.0.0,,,2023-11-23 22:21:04,2023-11-23 22:25:14,"4m - 10,001s",ERROR
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-23 22:21:04,2023-11-23 22:25:14,"4m - 9,429s",ERROR
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-23 22:21:05,2023-11-23 22:21:06,"0,299s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-23 22:21:06,2023-11-23 22:21:49,"43,299s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-23 22:21:49,2023-11-23 22:25:10,"3m - 20,682s",ERROR
Video,Chrome 119.0.0.0,,,2023-11-23 22:25:14,2023-11-23 22:25:14,"0,000s",PASSED
