Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TNR_R.TSPT_Suppo90,Chrome 119.0.0.0,,,2023-11-27 10:14:59,2023-11-27 10:23:52,"8m - 52,669s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-11-27 10:15:00,2023-11-27 10:23:52,"8m - 52,154s",PASSED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-11-27 10:15:01,2023-11-27 10:15:01,"0,470s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-11-27 10:15:01,2023-11-27 10:15:32,"30,300s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-11-27 10:15:32,2023-11-27 10:18:19,"2m - 47,914s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-11-27 10:18:19,2023-11-27 10:23:49,"5m - 29,431s",PASSED
Video,Chrome 119.0.0.0,,,2023-11-27 10:23:52,2023-11-27 10:23:52,"0,002s",PASSED
